"siret","code","workforce_count","coordinates","usual_name"
"44876309400019","43.11Z",35,"(43.636826,-1.229371)","LAPEYRE JEAN ET FILS"
"47882615900012","43.21A",35,"(44.345602,-1.062488)","SERTELEC AQUITAINE"
"49301641400036","02.40Z",35,"(44.279113,-1.181477)","BOIS DE GASCOGNE"
"50409711400038","43.32A",35,"(47.339279,1.731666)","PPO"
"58201234000029","25.62A",150,"(47.523859,2.037717)","COOPER CAPRI SAS"
"53838155900037","25.62B",35,"(47.328316,1.762836)","PROLITOL"
"57202552611786","36.00Z",35,"(47.370525,1.711867)","VEOLIA EAU - COMPAGNIE GENERALE DES EAUX"
"75381723800029","43.99C",35,"(47.346999,1.6867)","BOZKURT"
"77572221800127","18.12Z",75,"(47.34731,1.737298)","PARAGON TRANSACTION"
"77559249600191","42.11Z",150,"(47.586737,1.34653)","EUROVIA CENTRE LOIRE"
"55208131769781","35.13Z",35,"(47.601325,1.317454)","DIV PARTIC. ET PROFESSIONNELS"
"77566736301415","36.00Z",35,"(47.565197,1.328681)","COMPAGNIE DES EAUX ET DE L'OZONE PROCEDES M P OTTO"
"59722068000024","43.33Z",35,"(47.593614,1.310977)","S.R.S"
"79928716400021","18.12Z",35,"(47.606003,1.306842)","EDIIS BLOIS"
"68204083700408","43.99A",35,"(47.603962,1.310913)","SMAC"
"80373891300026","10.71C",35,"(47.57747,1.341789)","FEUILLETTE PRODUCTION"
"59722075500024","43.12A",35,"(47.490356,1.186979)","ENTREPRISE DUBOIS TRAVAUX PUBLICS"
"81002452100025","42.21Z",35,"(47.567064,1.373512)","DEHE CENTRE VAL DE LOIRE"
"48010803400079","43.21A",35,"(47.568165,1.36853)","SOCIETE D'ETUDES ET D'ENTREPRISES ELECTRIQUES"
"54206292200043","21.20Z",75,"(47.610435,1.357353)","CHIESI SAS"
"79916911500018","10.71C",35,"(47.567328,1.363189)","BOULANGERIE FEUILLETTE"
"59632027500040","25.62B",75,"(47.616929,1.355652)","ELIZABETH EUROPE"
"59722064900037","25.62B",75,"(47.613056,1.351363)","ABBILYS - H.M.A"
"59652048600033","22.22Z",35,"(48.038004,1.075229)","PA MARQUES"
"78413129400026","43.31Z",35,"(47.609624,1.354557)","SA RODRIGUEZ"
"79916911500026","10.71C",35,"(47.604466,1.351159)","BOULANGERIE FEUILLETTE"
"49302933400015","43.91A",35,"(47.792961,1.525203)","ENTREPRISE PROUST"
"48765102800036","25.62B",35,"(47.715098,1.508293)","ANTARES-FRANCE"
"77559920200014","25.50B",35,"(47.820469,1.293539)","JOINTS INDUSTRIELS"
"56205180500041","25.50B",35,"(47.284353,1.549933)","RENOULT"
"44588013100021","25.62B",35,"(47.281597,1.575133)","ATELIERS MECANIQUES DE SELLES"
"77542091200021","01.30Z",75,"(47.415767,1.527034)","MARIONNET"
"51181397400033","43.32A",35,"(47.28636,1.539854)","A.C.S."
"70378024700671","42.22Z",35,"(47.322877,1.245024)","SOBECA"
"56204705000348","33.13Z",75,"(47.814913,1.024139)","TRESCAL SOMELEC"
"48767464000023","33.16Z",35,"(47.800709,1.04817)","HONEYWELL AEROSPACE VENDOME"
"59692050400054","25.61Z",35,"(47.777277,1.068066)","SONOPOL"
"51785525000034","41.20A",35,"(47.794468,1.064501)","CONSTRUCTION AZ"
"61203949500546","33.13Z",750,"(47.800991,1.045477)","THALES AVS FRANCE SAS"
"48515748100014","24.53Z",75,"(47.769473,0.857286)","BARBAS ET PLAILLY"
"78162005900035","38.31Z",75,"(47.804008,1.078426)","MENUT RECYCLAGE"
"55208131773460","35.13Z",35,"(47.706476,1.626335)","C.I.D.E.N."
"55210098400038","23.99Z",225,"(47.971524,0.901198)","ICOPAL"
"77569239500038","25.61Z",150,"(47.971293,0.892527)","D.E.C. SAS - DEPOTS ELECTROLYTIQUES CHIMIQUES"
"55208131712450","35.13Z",35,"(47.706576,1.626535)","CTRE NAT EQUIP PRODUCT ELECT"
"55208131765524","35.13Z",35,"(47.687241,1.560627)","ELECTRICITE DE FRANCE"
"48934342600016","43.91B",35,"(46.042353,4.063807)","ETANCHEITE ROANNAISE"
"60372023600117","42.22Z",35,"(47.433407,2.043361)","SDEL BERRY, CITEOS"
"49837729000016","43.99C",35,"(46.05563,4.086241)","ENTREPRISE SAUTEL"
"53251349600010","43.31Z",35,"(46.08845,4.210746)","SARL LOMBARD"
"52480328500013","13.30Z",35,"(46.049845,4.089423)","MATEL COULEURS TEXTILES"
"52998921200038","25.12Z",35,"(46.061537,4.081912)","NOVATECH EUROPE"
"50284225500064","43.32A",35,"(46.053232,4.048491)","DB'CONCEPT"
"53791553000118","43.21A",75,"(46.047386,4.089904)","CEGELEC RESEAUX CENTRE EST"
"50165876900010","43.31Z",35,"(46.024655,4.089979)","LAURENT VILLECOURT"
"47845579300446","10.71C",35,"(46.066367,4.06348)","LA BOULANGERIE DE MARIE BLACHERE"
"51984906100014","43.32A",35,"(46.077145,3.925947)","LIGNATECH"
"75121758900017","25.61Z",35,"(46.020876,4.096449)","GAMWAY"
"56207750301172","42.21Z",75,"(46.033024,4.219687)","SADE - COMPAGNIE GENERALE DE TRAVAUX HYDRAULIQUES"
"72203459200096","23.13Z",225,"(45.558963,4.132805)","VERALLIA FRANCE"
"80848805000044","43.21A",35,"(45.597172,4.081315)","EIFFAGE ENERGIE SYSTEMES - IT LOIRE AUVERGNE"
"77566487303479","42.22Z",75,"(45.519884,4.20911)","BOUYGUES ENERGIES & SERVICES"
"51225413700015","25.62B",35,"(45.634177,4.054358)","AMM 42"
"51013204600036","43.29A",35,"(45.733255,4.233528)","CHEMINAL-GUIOTTO"
"58450046600035","33.20D",75,"(45.426076,4.06471)","ATOMELEC SA"
"78803442900027","25.62B",35,"(45.545203,4.305395)","EUCLIDE INDUSTRIE - MORETON"
"44941620500028","25.50B",35,"(45.888081,4.177258)","ATELIER METALLURGIQUE INDUSTRIEL"
"71450173100026","18.12Z",35,"(45.424927,4.370439)","ZA DE MONTMARTRE. 24-26"
"50301066200032","43.31Z",35,"(45.417472,4.383423)","PROXIBAT"
"55450039700019","25.62B",35,"(45.408648,4.41202)","JOINTS FOURNEL ET GARNIER"
"55450321900012","25.62B",35,"(45.416527,4.396873)","GROUSSON SAMUEL ET CIE"
"45126437800014","33.12Z",35,"(45.454202,4.397206)","ADIAPRESS-HYDROPULSOR"
"55450400100013","25.61Z",35,"(45.415341,4.405451)","S A CHROMAGE INDUSTRIEL CENTRE"
"58450058100023","43.22B",35,"(45.41452,4.380817)","REY SA"
"45149971900016","33.11Z",35,"(45.455623,4.423215)","SECMI-ADDAX"
"45650053701354","35.30Z",75,"(45.45676,4.393395)","DALKIA"
"49090610400016","43.22A",35,"(45.455795,4.402776)","ETABLISSEMENTS ROUX GERALD"
"52124135600018","43.91B",35,"(45.438766,4.376603)","BEAUFILS COUVERTURE - CHARPENTE"
"52429679500015","10.71D",35,"(45.435545,4.388104)","LE NELSON"
"55208131770953","35.13Z",150,"(45.446867,4.381639)","DIV PARTIC. ET PROFESSIONNELS"
"55208131789748","35.14Z",35,"(45.442921,4.400917)","EDF SA"
"60450053800102","42.21Z",35,"(45.468636,4.38779)","SOC ETUDES ENTR TRAVAUX PUBLICS ROBINET"
"62450078100023","43.21A",75,"(45.46263,4.405332)","RM TRAITEMENTS DOUSSON ELECTRICITE"
"65450053700026","43.22B",35,"(45.435854,4.374902)","ENTREPRISE FERRARD ET COMPAGNIE"
"66450047700040","43.99C",150,"(45.435909,4.374736)","CHAZELLE"
"68204083700630","43.99A",35,"(45.465068,4.399357)","SMAC"
"69450096800029","43.22B",75,"(45.469724,4.387908)","ORIOL-CHAUFFAGE SANITAIRE ETRAT-CSE"
"71450046900032","25.62B",35,"(45.457168,4.395873)","DI BARTOLOMEO - DBH"
"79937417800025","41.20B",35,"(45.442721,4.378396)","EIFFAGE CONSTRUCTION LOIRE"
"50302430900034","43.32A",35,"(45.488942,4.521226)","GIRAUDIER BOIS CREATION"
"71450072500037","25.62B",35,"(45.467168,4.50874)","ETS FAURE PERE ET FILS"
"57202552600102","36.00Z",75,"(45.481717,4.526178)","VEOLIA EAU - COMPAGNIE GENERALE DES EAUX"
"79921739300021","25.62B",225,"(45.468283,4.504979)","LINAMAR SAINT-CHAMOND"
"75125338600013","43.34Z",35,"(45.391798,4.278)","PETRUS CROS"
"44865857500015","43.91A",35,"(45.37281,4.271477)","CHARPENTE MARTIGNIAT"
"48198697400014","43.34Z",35,"(45.395819,4.336859)","ML FACADE"
"51027451700026","43.11Z",35,"(45.396642,4.333419)","BS BATIMENT"
"51820609900039","25.50B",35,"(45.396599,4.339138)","CHARVIN INDUSTRIE"
"58450441900030","25.50A",150,"(45.392131,4.316458)","FORGITAL FMDL SAS"
"70378024700648","42.22Z",35,"(45.419981,4.315815)","SOBECA"
"72450012900031","25.62B",35,"(45.435048,4.330483)","SMV"
"80790549200029","25.62B",75,"(45.3935,4.310173)","WALOR LCF"
"72450119200038","33.20C",75,"(45.433287,4.328127)","NIDEC ASI"
"77563554300132","43.21A",75,"(45.437649,4.332722)","EIFFAGE ENERGIE SYSTEMES - INFRA LOIRE AUVERGNE"
"78009801800028","25.50B",35,"(45.434948,4.330283)","POSSEHL ELECTRONIC FRANCE SA"
"80189631700014","43.31Z",35,"(45.41974,4.315118)","GOUNON BATIMENT"
"81406514000018","25.62B",75,"(45.434948,4.330483)","MINERVA ISSARTEL"
"44838953600120","42.22Z",35,"(45.541149,4.274453)","SETELEN"
"51817624300039","43.34Z",35,"(45.542072,4.289025)","NJ ENERGIE"
"45189235000021","25.61Z",225,"(45.521385,4.273165)","TECHNIQUES SURFACES ANDREZIEUX"
"53215224600015","33.20A",75,"(45.523671,4.281168)","TCMS"
"45189235000054","25.61Z",75,"(45.525021,4.273854)","TECHNIQUES SURFACES ANDREZIEUX"
"53849365100029","17.21B",225,"(45.539946,4.303623)","HAUBTMANN"
"75326480300028","42.99Z",35,"(45.545784,4.285466)","SOLS LOIRE AUVERGNE"
"45351210500033","25.50A",75,"(45.521087,4.274367)","BARRIOL ET DALLIERE INDUSTRIES - BDI"
"45406326400047","43.21A",35,"(45.544336,4.28988)","AJ'ELEC"
"81189167000010","25.62B",75,"(45.543138,4.303308)","ANDERTON CASTINGS"
"47845579300537","10.71C",35,"(45.526695,4.263541)","LA BOULANGERIE DE MARIE BLACHERE"
"52320572200029","43.91B",35,"(45.40492,4.256711)","INVIDIA CONCEPT"
"69678042800129","25.61Z",35,"(45.46824,4.422385)","BODYCOTE"
"55204695502957","35.30Z",150,"(45.463887,4.364016)","COFELY"
"73450133100031","25.62B",35,"(45.475993,4.441718)","ETABLISSEMENTS DANIEL REYNAUD AUD"
"48523483500018","38.22Z",75,"(45.473216,4.431173)","TALAUDIERE ENVIRONNEMENT"
"79017630900017","25.50B",35,"(45.466834,4.429604)","PRIMET INDUSTRIE"
"50924322600016","43.21A",35,"(45.472377,4.421327)","SANTERNE ENERGIES - SANTERNE THERMIQUE"
"50924322600032","43.21A",35,"(45.472577,4.421327)","SANTERNE SURFACES COMMERCIALES"
"62722004900720","43.22B",75,"(45.468655,4.435975)","HERVE THERMIQUE"
"54205733600365","43.99A",35,"(45.47255,4.432151)","ASTEN"
"47803818500045","33.20C",35,"(45.478413,4.384645)","SEEB AUTOMATION"
"48385171300014","43.32B",35,"(45.44482,4.358653)","CALCAGNI METALLERIE"
"53790831100039","43.21A",35,"(45.475164,4.386233)","CEGELEC MOBILITY"
"75409446400023","43.22A",35,"(45.444458,4.334653)","SUPER PLOMBERIE"
"73450167900041","43.29A",35,"(45.476929,4.383741)","SOC REGIONALE ISOLAT CALORIFUGE"
"50417111700022","43.91A",35,"(45.583661,4.31608)","SARL REAL-LACROIX"
"79966523700019","43.99A",35,"(45.444458,4.334853)","SUPER ETANCHEITE"
"51163867800033","43.32B",75,"(45.59541,4.292758)","SAS MICHOLET METALLERIE"
"71450140000028","25.62B",35,"(45.500762,4.562854)","CONSTRUCTION MECANIQUE DU GIER"
"45101024300025","42.22Z",75,"(45.475264,4.386133)","OMEXOM"
"44888559000027","43.21A",35,"(45.521158,4.591025)","YSO ELECTRIQUE"
"51396136700028","25.50B",35,"(45.544331,4.59113)","AG TOLERIE"
"51135334400027","25.50A",35,"(45.491163,4.55363)","SETFORGE EXTRUSION SOCIETE NOUVELLE"
"51135339300024","25.50A",75,"(45.491727,4.554903)","SETFORGE L'HORME SOCIETE NOUVELLE"
"65450035400034","25.62B",35,"(45.484086,4.535152)","ETS PICHON CONSTR MECANIQUES"
"53164278300033","43.99C",35,"(45.547159,4.612876)","B2C"
"67450019400024","25.62B",35,"(45.483848,4.533078)","SA MANUFACTURE DE FORAGE"
"73450050700011","43.99C",75,"(45.549518,4.615517)","SOCOTRA S A"
"73450132300012","43.99C",35,"(45.420653,4.682461)","ENTRE GENERALE BATIMENT RIVORY"
"77560032300023","08.12Z",35,"(45.925031,3.834934)","CARRIERES RICHARD SA"
"68450052300023","43.12A",35,"(45.36576,4.733653)","MOLINA SAS"
"66612002700030","43.12A",35,"(45.206435,3.516042)","SOCIETE A. CHAMBON"
"48980493000019","25.61Z",75,"(45.078428,3.629866)","DIEHL POWER ELECTRONIC SAS"
"81480913300014","43.31Z",35,"(45.049752,3.904888)","BATI & DECO"
"51505297500023","43.99D",35,"(45.04775,3.906556)","BATI FACADES 43"
"53791530800044","43.21A",75,"(45.048023,3.910715)","CEGELEC LOIRE AUVERGNE"
"55208131766118","35.13Z",35,"(45.038674,3.932052)","UNITE DE PRODUCTION CENTRE"
"58555019700032","26.12Z",75,"(45.03822,3.970317)","CONSTRUCTIONS ELECTRIQUES R.V."
"74993448500030","43.31Z",35,"(45.045711,3.917884)","CETON COKELEKLI"
"48915807100014","43.32B",75,"(44.983494,3.838576)","GAUTHIER"
"77912566500017","01.62Z",75,"(45.006016,3.923658)","XR REPRO"
"58575081300065","10.39A",35,"(45.075354,3.861537)","SABAROT WASSNER"
"55208131770508","35.13Z",75,"(45.290232,4.172378)","DIV PARTIC. ET PROFESSIONNELS"
"48915807100055","43.32A",75,"(44.971126,3.877349)","GAUTHIER"
"53332060200014","42.21Z",35,"(44.968493,3.879866)","SOVETRA"
"58695026300010","43.99C",75,"(45.283247,4.162204)","SO.CO.BAT AULAGNIER"
"49120811200012","25.61Z",35,"(45.232926,4.223866)","MCE"
"44914667900021","22.21Z",75,"(45.308541,4.111882)","INDUSTRIAL PACKAGING SOLUTIONS"
"66652004400049","17.21B",35,"(45.326108,3.368628)","ETABLISSEMENTS ESTIC-MAILLOT"
"51365418600024","43.12A",35,"(45.297931,4.130022)","TREMA"
"72201371100030","17.21B",35,"(45.302305,3.358778)","INDUST TRANSFORM CARTON AUTRES MATIERES"
"60282001100099","25.50B",150,"(45.307543,3.375973)","SOC NOISEENNE OUTILLAGE DE PRESSE SNOP"
"52900768400028","25.62B",150,"(45.181051,4.313653)","LINAMAR MONTFAUCON TRANSMISSION"
"55850337100178","10.85Z",75,"(45.254417,3.403133)","GROUPE FRANCAISE DE GASTRONOMIE"
"53384192000028","43.99C",35,"(45.242801,4.427091)","CHARRA MACONNERIE"
"52049207500012","43.32A",35,"(45.15017,4.115105)","SERODON ET ASSOCIES"
"49198232800016","25.50A",35,"(45.226991,4.139098)","NOUVELLE FORGE BARDON"
"70203737500079","22.22Z",75,"(45.183216,4.323393)","COVERIS FLEXIBLES FRANCE"
"77560174300070","13.96Z",35,"(45.178903,4.315321)","OFI"
"66732006300023","23.61Z",35,"(45.385336,3.268063)","SARL LA SABLIERE DE CHAPPES"
"50242019300026","43.12A",35,"(45.159606,4.306864)","S.D.R.T.P"
"51395537700017","33.12Z",35,"(45.067558,4.306494)","SECURIPRO INCENDIE"
"44883491100019","25.62B",35,"(45.374522,4.209488)","MECANIQUE DEVILLE"
"47893431800013","43.91A",35,"(45.069925,4.280905)","GUILHOT CONSTRUCTION BOIS"
"58635002700015","43.99B",35,"(45.361423,4.199705)","SOC CONSTRUCTIONS MECANIQUES AURECOISES"
"52859906100017","28.15Z",35,"(45.328733,4.245146)","BILLARD ENGRENAGES"
"45015773000026","10.89Z",75,"(45.291687,4.247212)","ALPHA NUTRITION"
"57675058200024","11.07A",35,"(47.514952,-1.947533)","CRISTAL ROC"
"57202552607057","36.00Z",35,"(47.428308,-2.072738)","VEOLIA EAU - COMPAGNIE GENERALE DES EAUX"
"49172479500035","43.91A",35,"(47.114962,-2.062816)","SARL CYCLONE"
"48371035600021","43.21A",35,"(47.472328,-2.165172)","STENA"
"51978601600013","43.12A",35,"(47.127514,-2.120561)","BROSSEAU GUILBAUD TP"
"81436038400014","43.91A",35,"(47.111093,-1.803969)","LEDUC STRUCTURES BOIS"
"53512372300012","43.29A",35,"(47.175378,-2.072633)","ISOL BEKA"
"79886856800014","43.31Z",35,"(47.114862,-2.062916)","FLA'BAT"
"50034328000011","43.21A",35,"(47.169682,-2.14733)","SARL RETAILLEAU"
"48097064900012","43.22B",75,"(47.16492,-1.265473)","CEME-MOREAU"
"48789494100029","43.91B",35,"(47.178385,-1.262691)","EURL GUEBER MICHEL"
"47993086900017","43.34Z",35,"(47.078021,-1.367487)","SAS MORISSEAU PEINTURE"
"78411865500025","43.32C",75,"(47.179754,-1.256953)","SOMEVA"
"49323403300022","43.32A",35,"(47.171679,-1.356607)","AMH - ATELIER MENUISERIE HEULINOIS"
"45367720500032","43.12A",35,"(46.893287,-1.596568)","ROCHETEAU EMMANUEL"
"45202321100033","43.99D",35,"(46.977421,-1.804015)","INCLUSOL"
"81060701000016","43.34Z",35,"(47.735015,-1.364578)","PLANCHENAULT - BOHUON"
"52017789000024","43.99C",35,"(46.979378,-1.801016)","CONSTRUCTION MACHECOULAISE DE BATIMENT"
"52927571100016","43.32B",35,"(47.003574,-1.833609)","ISALT"
"45120710400014","43.12A",35,"(47.647154,-1.685843)","ROGER MUSTIERE"
"49311440900029","33.20A",35,"(47.644622,-1.66265)","ARTIS SARL"
"49521892700012","42.12Z",35,"(47.22008,-1.512616)","SAS AVF"
"49344184400013","01.62Z",35,"(47.77929,-1.294907)","INTERV'VOLAILLES"
"55208131736210","35.11Z",750,"(47.301194,-1.8307)","UP DE CORDEMAIS"
"51130691200037","43.99D",35,"(47.359708,-1.963161)","ALTITUDE 44"
"53791622300127","42.22Z",75,"(47.259301,-1.506644)","CITEOS"
"79000299200010","10.71C",35,"(47.226662,-1.549011)","BOULANGERIE ANGE"
"55208131790126","35.14Z",150,"(47.277341,-1.514051)","EDF"
"63201725700288","43.22B",150,"(47.256299,-1.497364)","MCI"
"79104589100037","43.99C",35,"(47.254378,-1.498361)","FL CONSTRUCTION"
"79453963500035","25.62B",35,"(47.246869,-1.499427)","SPPI INDUSTRIE"
"81506390400024","10.51C",150,"(47.246809,-1.508572)","EURIAL FOOD SERVICE & INDUSTRY"
"80411847900018","10.71C",35,"(47.261501,-1.582009)","LA TA' BLE DES SAVEURS"
"48777248500024","43.32C",35,"(47.206998,-1.560706)","MOBIL M"
"54210765112891","35.23Z",35,"(47.208152,-1.562358)","GDF"
"45139085000035","28.99B",75,"(47.196444,-1.596042)","LEROUX & LOTZ INDUSTRY"
"57202552611398","36.00Z",75,"(47.208847,-1.540638)","VEOLIA EAU - COMPAGNIE GENERALE DES EAUX"
"78460657600691","41.10A",75,"(47.206486,-1.538077)","ICADE PROMOTION"
"45310830000022","10.71C",35,"(47.198016,-1.606582)","TARTAPAIN"
"44905524300017","10.71C",35,"(47.230929,-1.555747)","LA PETITE BOULANGERIE"
"47568081500531","41.20A",35,"(47.215907,-1.534241)","VILOGIA SOCIETE ANONYME D'HLM"
"55208131770037","35.13Z",150,"(47.219492,-1.556456)","DIV PARTIC. ET PROFESSIONNELS"
"50168109200026","10.71B",35,"(47.214241,-1.555748)","LA MIE CASSARD"
"50458355000026","10.71C",35,"(47.217396,-1.551988)","LA BOULANGERIE D'ANTAN"
"81417310000011","10.71C",35,"(47.224513,-1.576785)","EMMA"
"55208131782867","35.13Z",35,"(47.219692,-1.556456)","DIR ACHATS"
"55208131789532","35.14Z",35,"(47.219792,-1.556556)","EDF"
"56209154600563","41.10A",75,"(47.220122,-1.562229)","BOUYGUES IMMOBILIER"
"72206936600267","42.13A",75,"(47.215032,-1.537276)","BOUYGUES TRAVAUX PUBLICS REGIONS FRANCE"
"45650053704077","35.30Z",150,"(47.243898,-1.621636)","DALKIA"
"48077232600116","41.10A",35,"(47.236359,-1.584847)","REALITES MAITRISE D'OUVRAGE"
"50138325100029","41.20B",225,"(47.231331,-1.655229)","SISTEO"
"48454997700045","43.99D",75,"(47.220646,-1.648374)","GTM OUEST"
"49346798900023","17.21C",75,"(47.229343,-1.641433)","GASCOGNE SACK"
"51331878200028","43.34Z",35,"(47.225252,-1.644983)","P.E.R.A.L. (PEINTURE ENDUIT RAVALEMENT)"
"49465017900026","41.10C",35,"(47.232213,-1.628236)","NOXA - GROUPE NOX"
"49905295900032","43.99A",35,"(47.225736,-1.642799)","OUEST TRAVAUX SPECIAUX (OTS)"
"51953183400066","43.22B",35,"(47.213233,-1.622692)","MAISONING"
"49968957800031","33.11Z",35,"(47.201404,-1.630579)","FOURE LAGADEC ATLANTIQUE"
"53206018300037","43.34Z",35,"(47.233242,-1.651814)","RAMZI PEINTURE"
"54210765111695","35.23Z",150,"(47.227267,-1.618568)","DIR NEGOCE"
"52936364000143","41.10D",35,"(47.226464,-1.61896)","KHORGEST SNC"
"52950910100018","42.99Z",75,"(47.225533,-1.627651)","LEGENDRE GENIE CIVIL"
"52954187200022","43.33Z",35,"(47.212864,-1.620302)","SOL SOLUTION AGRO"
"56207750300737","42.21Z",75,"(47.224555,-1.647891)","SADE - COMPAGNIE GENERALE DE TRAVAUX HYDRAULIQUES"
"62722004900753","43.22B",75,"(47.227452,-1.642212)","HERVE THERMIQUE"
"77566487303719","43.21A",35,"(47.222796,-1.648973)","GENIE ELECTRIQUE ET THERMIQUE"
"77566487303834","42.22Z",35,"(47.22913,-1.617757)","BOUYGUES ENERGIES & SERVICES"
"74542065300917","41.20B",75,"(47.201404,-1.630379)","ENTREPRISE GENERALE LEON GROSSE"
"77566487303842","43.21A",35,"(47.22933,-1.617757)","BOUYGUES ENERGIES & SERVICES"
"50904165300049","43.21A",35,"(47.162432,-1.557091)","S 3 A"
"80266663600021","43.34Z",35,"(47.231511,-1.654519)","TIJOU NANTES"
"50918230900062","26.11Z",35,"(47.149889,-1.545894)","DOME SOLAR"
"77566736302298","36.00Z",35,"(47.165882,-1.546965)","COMPAGNIE DES EAUX ET DE L'OZONE PROCEDES M P OTTO"
"57202552611794","36.00Z",75,"(47.165782,-1.546865)","VEOLIA EAU - COMPAGNIE GENERALE DES EAUX"
"55208131719745","35.13Z",150,"(47.184072,-1.477735)","C. NANTES ATLANTIQUE"
"75011297100015","25.50B",35,"(47.157675,-1.533188)","ORIGA METAL"
"48928736700036","43.99C",75,"(47.262645,-1.650708)","DONADA"
"49313017300021","41.10A",35,"(47.258249,-1.619486)","ATARAXIA"
"50461488400022","43.99C",35,"(47.251985,-1.616618)","SONISOL"
"77566487303404","42.22Z",75,"(47.182625,-1.491371)","BOUYGUES ENERGIES & SERVICES"
"47902472100033","43.22B",35,"(47.235143,-1.672249)","VENTELIS"
"48519755200121","43.99A",150,"(47.270399,-1.485554)","SOPREMA ENTREPRISES"
"50430782800047","25.62B",35,"(47.237474,-1.675381)","DELTA MECA"
"55204695503591","35.30Z",225,"(47.220626,-1.680291)","COFELY SERVICES"
"58208178200457","42.11Z",35,"(47.245737,-1.702208)","AXIMUM NANTES"
"49460950600022","43.12A",35,"(47.291706,-1.503242)","BATP 44"
"53791616500021","43.21A",75,"(47.280919,-1.461393)","CEGELEC LOIRE OCEAN"
"70200052201036","43.21A",75,"(47.266682,-1.489641)","SICLI  -  COFISEC  - CHUBB SECURITE"
"50949699800048","26.11Z",75,"(47.283192,-1.49439)","SYSTOVI"
"51068675100080","42.11Z",35,"(47.269625,-1.492964)","AER CARQUEFOU"
"48980552300037","43.29A",35,"(47.177175,-1.601264)","ART'US"
"51299733900035","43.22B",35,"(47.310178,-1.480155)","LOISIL-EVEILLARD"
"45133953500044","43.99D",35,"(47.259271,-1.552106)","A.G.H."
"47853925700053","43.31Z",35,"(47.271579,-1.47172)","COIGNARD NANTES ATLANTIQUE"
"48754905700015","42.21Z",150,"(47.284171,-1.54703)","DLE OUEST"
"48970160700025","43.91B",35,"(47.263472,-1.484053)","BLONDY COUVERTURE"
"75109051500022","33.20A",35,"(47.264072,-1.487511)","S.T.I.A. PAR ABREVIATION DE SERVICES DE TECHNOLOGIES INDUSTRIELLES ATLANTIQUE"
"50911213200014","10.71C",35,"(47.298206,-1.550932)","BRANGEON"
"51229328300028","43.22B",35,"(47.2826,-1.552181)","ANVOLIA"
"49507445200014","33.20B",35,"(47.282272,-1.449447)","SEIM-NANTES"
"50899231000013","22.29A",225,"(47.275044,-1.439211)","ASI PROD"
"80523847400029","33.11Z",35,"(47.263253,-1.476861)","DT SYSTEMES"
"50019654800019","43.32C",35,"(47.186394,-1.455664)","LOIRE ATLANTIQUE AGENCEMENT"
"80838769000015","43.91B",35,"(47.250985,-1.480336)","OUEST HABITAT CONSEIL"
"44908032400097","41.20A",75,"(47.279686,-1.457249)","MAISON PHENIX - MAISON FAMILIALE - MAISON CATHERINE MAMET"
"44775065400033","10.71C",35,"(47.149614,-1.540027)","FABRICATION D'HONORE"
"52483214400033","33.12Z",150,"(47.136456,-1.51897)","ENERCON SERVICE FRANCE OUEST SARL"
"47772712700029","33.12Z",35,"(47.140474,-1.525938)","A.M.T.I."
"48033825000016","43.34Z",35,"(47.14489,-1.542385)","PRO HABITAT"
"59205230202470","43.29B",75,"(47.139029,-1.5248)","KONE"
"72202474201832","43.29B",75,"(47.151152,-1.536848)","THYSSENKRUPP ASCENSEURS"
"50775846400022","43.22B",35,"(47.141652,-1.525653)","MICHEL GLEN SARL"
"79888282500036","43.32A",35,"(47.149641,-1.529452)","EIRL CERCEL FLORIN OCTAVIAN FK MENUISERIE"
"80193630300016","43.32B",35,"(47.135558,-1.521057)","ARCALIA"
"47990319700024","25.50B",35,"(47.12043,-1.583227)","OXYMETAL OUEST"
"48365655900034","41.20A",35,"(47.164998,-1.678313)","COMECA"
"52903481100024","33.20A",35,"(47.122883,-1.504436)","CTN INDUSTRIE"
"47930543500022","10.71D",75,"(47.120559,-1.505029)","ARDELICE"
"47955860300029","43.32B",35,"(47.276361,-1.587079)","VIVOLUM"
"50168955800010","01.62Z",150,"(47.466367,-1.744464)","UNION EVOLUTION"
"52016044100033","43.99C",35,"(47.279638,-1.587312)","SARL CALYONE CONSTRUCTIONS"
"49031262600024","42.22Z",35,"(47.374626,-1.645626)","ELO ENERGIE"
"52467334000047","43.29A",75,"(47.276399,-1.591159)","ATLANTIQUE BATIMENT CLOISON"
"52522657700043","43.29A",35,"(47.277828,-1.594229)","GLOBAL'ISOL"
"53197055600019","42.11Z",35,"(47.307457,-1.755344)","FRAISAVIA"
"53101982600084","42.22Z",75,"(47.37905,-1.646829)","EIFFAGE ENERGIE SYSTEMES - TELECOM OUEST"
"79379728300116","43.22A",35,"(47.304478,-1.75669)","ISERBA"
"53496608000044","42.21Z",35,"(47.382905,-1.649597)","ATLANTIQUE REHABILITATION"
"50075968300013","08.92Z",35,"(47.352234,-1.436405)","TOURBIERES DE FRANCE"
"45183991400012","22.22Z",35,"(47.513682,-1.618722)","CONDI ATLANTIQUE"
"77566736300391","36.00Z",35,"(47.241617,-2.161285)","COMPAGNIE DES EAUX ET DE L'OZONE PROCEDES M P OTTO"
"50429095800017","10.71D",75,"(47.285689,-2.391158)","CHRISTOPHE ROUSSEL PATISSIER C HOCO"
"50150330400013","43.12A",35,"(47.199272,-2.033483)","MABILEAU TP"
