"siret","code","workforce_count","coordinates","usual_name"
"44489473700030","38.22Z",35,"(47.781071,-3.32253)","REPUR ARMOR"
"41187287200022","10.71C",35,"(47.826817,-3.249013)","JAN"
"33245677100028","43.32A",35,"(47.919088,-3.319848)","LOY ET COMPAGNIE"
"33458060200038","43.99C",35,"(47.913246,-3.354872)","GARNIEL BATIMENT"
"43029979200027","43.33Z",35,"(47.919397,-3.319628)","DORE SOLS"
"42367123900022","43.99C",35,"(47.727552,-3.339406)","SOCIETE BERTRAND GUEGANNO"
"39995638200036","31.09B",35,"(47.825361,-3.408252)","SARL AMEUBLEMENT TURRINI"
"38898627500021","43.91A",35,"(47.904569,-3.118541)","ACM"
"42971368800035","43.99D",35,"(47.66413,-3.012807)","PROFIL ARMOR"
"44460844201628","35.13Z",75,"(47.666422,-2.991855)","ENEDIS"
"42148758800020","43.33Z",35,"(47.810432,-2.942231)","SARL DOUBLIER"
"35034137600019","33.14Z",35,"(47.670186,-2.960107)","SA ELECTRO STANDARD"
"39080791500017","10.71C",35,"(47.583683,-3.078362)","LES DELICES D ANTAN"
"33937998405603","36.00Z",375,"(47.761228,-3.122798)","SAUR"
"38521174300013","43.32B",35,"(47.756668,-3.131037)","ALUMINIUM DE BRETAGNE"
"34862717500014","43.32A",35,"(47.639094,-3.15348)","ENTREPRISE JOSEPH AUDIC"
"33816579800046","01.62Z",75,"(47.658997,-3.190754)","INSEMIA"
"34303681000038","43.21A",35,"(47.926384,-2.369369)","BJ 56 BROCELIANDE"
"38075130500034","01.62Z",35,"(47.933166,-2.370703)","JOSSE"
"41479929600374","43.21A",35,"(47.929302,-2.378144)","ENGIE INEO"
"42856174000138","42.21Z",75,"(47.931981,-2.379298)","CISE TP"
"44460844201958","35.13Z",35,"(47.931956,-2.386205)","ENEDIS"
"44261462400017","43.91B",35,"(48.091478,-2.277855)","BRIERO"
"38055393300025","43.91A",35,"(47.947581,-2.583663)","CONSTRUCTIONS PENARD"
"39457198800036","22.23Z",75,"(48.013951,-2.470565)","FYBOLIA"
"38293756300031","43.34Z",35,"(47.930032,-2.125515)","SOCIETE GAREL"
"40491793200018","25.50B",35,"(47.930132,-2.125615)","BRETAGNE LASER"
"38429821200018","43.34Z",35,"(47.77453,-2.126912)","EURL LETOURNEL"
"34235733200028","41.20B",35,"(47.820258,-2.439449)","INDUSTRIE CHARPENTE BOIS"
"41103872200012","25.50B",150,"(47.801839,-2.400276)","GROUPE OTS"
"34225954600014","43.91A",35,"(47.828585,-2.25473)","S.A.S. ROLLAND"
"39473516100017","17.21B",35,"(47.744667,-2.240631)","MARTINET ET HIRONDELLE"
"41103872200020","25.50B",35,"(47.802421,-2.411547)","GROUPE OTS"
"38340758200022","43.33Z",35,"(47.896825,-3.014919)","LE DORTZ"
"38498016500011","10.13A",150,"(47.870381,-3.032039)","SOCIETE JEAN FLOCH"
"39050032000036","43.99C",35,"(47.865072,-3.016616)","SARL JEAN-PIERRE LE GAL"
"39916153800034","33.20A",35,"(47.874259,-3.022223)","ARIAL"
"40496948700010","43.12A",35,"(47.892156,-3.01592)","RIO LOIC TP"
"41247802600021","42.22Z",35,"(47.896925,-3.015019)","RESO - RESEAUX ENERGIES SECTEUR OUEST"
"44310182900051","43.32B",35,"(47.870581,-3.032039)","EXPERT FERMETURES"
"42051755900019","17.29Z",75,"(47.970244,-2.855477)","ECOFEUTRE"
"40872410200038","43.99B",35,"(47.893309,-2.869729)","BCM CONSTRUCTIONS"
"38418380200022","43.99C",35,"(47.845169,-2.583757)","CONSTRUCTIONS ANTOINE"
"33517450400159","10.71D",35,"(47.654452,-2.720635)","PATISSERIE CARTRON"
"33937998405314","36.00Z",150,"(47.668541,-2.781101)","SAUR"
"34426370200542","38.11Z",35,"(47.658693,-2.71011)","SUEZ RV OUEST"
"34800491200039","41.20A",35,"(47.664792,-2.780807)","LES RESIDENCES DU GOLFE"
"38449111400094","33.14Z",35,"(47.642791,-2.755408)","ASERTI ELECTRONIC"
"38877210500176","43.21A",35,"(47.649401,-2.794318)","EIFFAGE ENERGIE SYSTEMES - MAINE BRETAGNE"
"41479929600366","43.21A",75,"(47.655982,-2.706299)","ENGIE INEO"
"42134020900038","41.20B",35,"(47.654412,-2.715877)","SOGEA BRETAGNE B T P"
"44460844201867","35.13Z",35,"(47.665855,-2.778334)","ENEDIS"
"44460844201982","35.13Z",150,"(47.65964,-2.786978)","ENEDIS"
"44478651101517","35.22Z",35,"(47.65984,-2.786978)","GRDF"
"35015956200015","25.62B",75,"(47.678183,-2.728941)","ETABLISSEMENTS GUEDO"
"38247395700126","42.22Z",35,"(47.677601,-2.734545)","ENTREPRISE DE RESEAUX ET SOURCES"
"39465549200020","43.34Z",35,"(47.675973,-2.732277)","SARL JOUNEAUX GERARD"
"42967606700037","33.20B",75,"(47.674986,-2.730193)","AR.VAL."
"34339646100026","43.34Z",35,"(47.650341,-2.717849)","JOSSELIN PEINTURE"
"44476855000055","43.22B",35,"(47.650207,-2.715761)","CHAM - CHALEUR MAINTENANCE"
"33366073600013","25.62B",35,"(47.64834,-2.70822)","MECANIQUE J L B SARL"
"34369137400122","43.12A",75,"(47.632804,-2.662921)","CHARIER ROUTES & TRAVAUX URBAINS VANNES"
"35166379400037","37.00Z",35,"(47.630553,-2.65202)","SARL HYDROSERVICES DE L OUEST"
"38337008700017","43.32A",35,"(47.62857,-2.66116)","KICLOS PAYS DE VANNES"
"41912286600033","10.52Z",35,"(47.64834,-2.70802)","ALAIN CHARTIER"
"44343327100014","43.99C",35,"(47.64824,-2.70802)","SFB MORBIHAN"
"33774252200028","43.99C",35,"(47.694919,-2.83527)","M.G.O."
"41080499100025","43.99C",35,"(47.68254,-2.799958)","GARAUD"
"38523737500030","25.12Z",35,"(47.755433,-2.838472)","CLOTURES FERMETURES PRODUCTION"
"35254215300056","10.71C",35,"(47.644991,-2.811805)","LA HUCHE A PAINS"
"43815213400021","43.22B",35,"(47.66403,-2.902006)","AXENERGIE VANNES"
"43227790300022","25.61Z",35,"(47.736167,-2.745364)","ABRATECH"
"35378684100042","10.85Z",750,"(47.763038,-3.239261)","CITE MARINE"
"40522248000049","43.21A",35,"(47.764153,-3.265231)","L.B.G.E."
