"Source";"Target";"Weight"
"B1602";"B1303";0.9
"B1602";"D1301";0.5
"B1602";"G1202";0.5
"B1602";"K2111";0.5
"B1603";"B1101";0.5
"B1603";"B1303";0.9
"B1603";"B1601";0.9
"B1603";"B1601";0.9
"B1603";"D1214";0.9
"B1603";"D1301";0.5
"B1603";"D1402";0.5
"B1603";"H2208";0.9
"B1603";"K2111";0.5
"B1604";"B1603";0.5
"B1604";"D1214";0.9
"B1604";"D1301";0.5
"B1604";"D1402";0.5
"B1604";"D1503";0.5
"B1604";"H1203";0.5
"B1604";"H2901";0.9
"B1604";"K2111";0.5
"B1701";"B1101";0.5
"B1701";"B1101";0.5
"B1701";"L1503";0.9
"B1801";"B1805";0.5
"B1801";"D1201";0.5
"B1801";"D1214";0.9
"B1801";"D1301";0.5
"B1801";"G1202";0.5
"B1801";"H1205";0.5
"B1801";"K2109";0.5
"B1801";"L1502";0.5
"B1802";"B1806";0.9
"B1802";"D1206";0.9
"B1802";"D1214";0.9
"B1802";"D1301";0.5
"B1802";"D1402";0.5
"B1802";"H1205";0.5
"B1802";"H1205";0.5
"B1802";"H2401";0.9
"B1802";"H2505";0.5
"B1802";"J1411";0.5
"B1802";"K2109";0.5
"B1802";"K2111";0.5
"B1802";"L1502";0.5
"B1803";"B1805";0.5
"B1803";"D1201";0.5
"B1803";"D1207";0.9
"B1803";"D1212";0.9
"B1803";"D1214";0.9
"B1803";"D1301";0.5
"B1803";"D1402";0.5
"B1803";"G1202";0.5
"B1803";"H1205";0.5
"B1803";"H2411";0.9
"B1803";"H2412";0.9
"B1803";"K1203";0.5
"B1803";"K2109";0.5
"B1803";"K2111";0.5
"B1803";"L1502";0.9
"B1804";"B1801";0.5
"B1804";"B1805";0.5
"B1804";"D1201";0.5
"B1804";"D1214";0.9
"B1804";"D1301";0.5
"B1804";"G1202";0.5
"B1804";"K2109";0.5
"B1804";"L1502";0.5
"B1805";"B1301";0.5
"B1805";"B1801";0.5
"B1805";"E1205";0.5
"B1805";"H1204";0.5
"B1805";"H1205";0.9
"B1805";"K2111";0.5
"B1805";"L1502";0.9
"B1805";"M1702";0.5
"B1806";"B1301";0.5
"B1806";"B1802";0.9
"B1806";"B1803";0.9
"B1806";"D1212";0.9
"B1806";"D1212";0.9
"B1806";"D1212";0.9
"B1806";"D1212";0.9
"B1806";"D1212";0.9
"B1806";"D1301";0.5
"B1806";"D1402";0.5
"B1806";"F1102";0.5
"B1806";"G1202";0.9
"B1806";"H2402";0.9
"B1806";"K1203";0.5
"B1806";"K2111";0.5
"C1101";"C1104";0.5
"C1101";"C1105";0.5
"C1101";"C1204";0.9
"C1101";"D1406";0.5
"C1101";"K2111";0.5
"C1101";"M1703";0.9
"C1101";"M1707";0.5
"C1102";"C1103";0.5
"C1102";"C1104";0.5
"C1102";"C1206";0.9
"C1102";"D1402";0.9
"C1102";"M1704";0.5
"C1103";"C1101";0.5
"C1103";"C1104";0.5
"C1103";"C1107";0.9
"C1103";"C1108";0.5
"C1104";"C1103";0.9
"C1104";"C1108";0.9
"C1104";"C1207";0.5
"C1104";"K2111";0.5
"C1104";"M1201";0.5
"C1105";"C1101";0.9
"C1105";"M1201";0.5
"C1105";"M1403";0.9
"C1105";"M1707";0.5
"C1106";"C1107";0.9
"C1106";"H1302";0.5
"C1106";"H1303";0.5
"C1106";"K2111";0.5
"C1107";"C1104";0.5
"C1107";"C1106";0.9
"C1107";"C1110";0.9
"C1107";"K1903";0.5
"C1108";"C1103";0.9
"C1108";"C1104";0.9
"C1108";"C1107";0.9
"C1108";"C1207";0.5
"C1108";"K1903";0.5
"C1108";"K2111";0.5
"C1109";"C1102";0.5
"C1109";"C1107";0.5
"C1109";"C1110";0.5
"C1109";"K1902";0.9
"C1110";"C1101";0.5
"C1110";"C1104";0.5
"C1110";"C1106";0.5
"C1110";"C1107";0.5
"C1110";"C1108";0.5
"C1201";"C1102";0.5
"C1201";"C1109";0.5
"C1201";"C1206";0.5
"C1201";"D1401";0.9
"C1201";"D1408";0.9
"C1201";"G1703";0.5
"C1202";"C1207";0.5
"C1202";"K1903";0.5
"C1202";"K2111";0.5
"C1202";"M1201";0.5
"C1202";"M1202";0.5
"C1202";"M1204";0.5
"C1202";"M1403";0.5
"C1203";"C1205";0.5
"C1203";"C1206";0.9
"C1203";"C1207";0.5
"C1203";"C1302";0.5
"C1203";"M1704";0.9
"C1204";"C1101";0.5
"C1204";"C1202";0.5
"C1204";"M1201";0.5
"C1204";"M1703";0.9
"C1204";"M1706";0.5
"C1205";"C1103";0.5
"C1205";"C1105";0.5
"C1205";"C1207";0.5
"C1205";"C1301";0.5
"C1205";"C1302";0.9
"C1205";"C1303";0.5
"C1205";"C1501";0.5
"C1205";"M1704";0.9
"C1206";"C1102";0.9
"C1206";"C1203";0.5
"C1206";"C1205";0.5
"C1206";"C1207";0.5
"C1206";"C1502";0.9
"C1206";"M1704";0.5
"C1207";"C1303";0.5
"C1207";"K2111";0.5
"C1207";"M1302";0.5
"C1207";"M1402";0.5
"C1301";"C1302";0.9
"C1301";"C1303";0.5
"C1301";"K2111";0.5
"C1301";"M1201";0.5
"C1302";"C1205";0.9
"C1302";"C1207";0.5
"C1302";"K1903";0.5
"C1302";"M1201";0.5
"C1302";"M1202";0.5
"C1302";"M1204";0.5
"C1303";"C1105";0.5
"C1303";"C1205";0.9
"C1303";"C1207";0.5
"C1303";"C1301";0.9
"C1303";"K2111";0.5
"C1303";"M1403";0.5
"C1401";"C1102";0.5
"C1401";"C1109";0.5
"C1401";"C1201";0.5
"C1401";"C1206";0.5
"C1401";"C1303";0.5
"C1401";"C1303";0.5
"C1401";"D1408";0.9
"C1401";"M1602";0.9
"C1401";"M1605";0.5
"C1401";"M1605";0.5
"C1401";"M1607";0.9
"C1501";"C1502";0.9
"C1501";"C1503";0.5
"C1501";"C1504";0.9
"C1501";"I1101";0.5
"C1501";"M1206";0.9
"C1502";"C1501";0.5
"C1502";"C1504";0.9
"C1502";"M1203";0.9
"C1503";"C1203";0.9
"C1503";"C1501";0.9
"C1503";"C1504";0.9
"C1503";"D1402";0.9
"C1503";"D1403";0.9
"C1503";"M1302";0.5
"C1503";"M1707";0.9
"C1504";"C1206";0.9
"C1504";"C1501";0.9
"C1504";"C1502";0.9
"C1504";"C1503";0.5
"C1504";"D1402";0.9
"C1504";"D1403";0.9
"D1101";"D1103";0.5
"D1101";"D1106";0.9
"D1101";"D1107";0.9
"D1101";"D1301";0.5
"D1101";"D1402";0.5
"D1101";"D1502";0.5
"D1101";"K2109";0.5
"D1102";"D1104";0.5
"D1102";"D1107";0.9
"D1102";"D1301";0.5
"D1102";"D1402";0.5
"D1102";"D1502";0.5
"D1102";"G1604";0.9
"D1102";"H2102";0.9
"D1102";"H2102";0.9
"D1102";"H3303";0.9
"D1102";"K2109";0.5
"D1103";"D1101";0.9
"D1103";"D1101";0.9
"D1103";"D1106";0.9
"D1103";"D1107";0.9
"D1103";"D1301";0.5
"D1103";"D1402";0.5
"D1103";"D1502";0.5
"D1103";"E1107";0.5
"D1103";"G1602";0.5
"D1103";"G1602";0.5
"D1103";"K2109";0.5
"D1104";"D1102";0.9
"D1104";"D1107";0.9
"D1104";"D1301";0.5
"D1104";"D1402";0.5
"D1104";"D1502";0.5
"D1104";"G1602";0.9
"D1104";"G1602";0.9
"D1104";"G1602";0.9
"D1104";"G1602";0.9
"D1104";"G1602";0.9
"D1104";"G1602";0.9
"D1104";"H2102";0.9
"D1104";"H2102";0.9
"D1104";"K2109";0.5
"D1105";"D1106";0.9
"D1105";"D1107";0.9
"D1105";"D1402";0.5
"D1105";"D1502";0.5
"D1105";"G1602";0.5
"D1105";"G1602";0.5
"D1105";"G1605";0.9
"D1105";"K2109";0.5
"D1106";"D1101";0.5
"D1106";"D1102";0.5
"D1106";"D1103";0.5
"D1106";"D1104";0.5
"D1106";"D1105";0.5
"D1106";"D1107";0.9
"D1106";"D1502";0.5
"D1106";"D1505";0.9
"D1106";"D1507";0.9
"D1106";"G1603";0.9
"D1107";"D1106";0.9
"D1107";"D1301";0.9
"D1107";"D1401";0.9
"D1107";"D1402";0.9
"D1107";"D1406";0.5
"D1107";"D1502";0.5
"D1107";"M1101";0.5
"D1201";"B1302";0.5
"D1201";"B1402";0.5
"D1201";"B1501";0.5
"D1201";"D1211";0.9
"D1201";"D1214";0.9
"D1201";"D1214";0.9
"D1201";"D1301";0.9
"D1201";"H2207";0.5
"D1201";"H2207";0.5
"D1201";"H2208";0.5
"D1202";"D1208";0.9
"D1202";"D1214";0.5
"D1202";"D1301";0.5
"D1202";"D1402";0.5
"D1202";"D1403";0.5
"D1202";"L1501";0.9
"D1203";"D1208";0.9
"D1203";"D1214";0.5
"D1203";"D1301";0.5
"D1203";"G1202";0.5
"D1203";"G1204";0.5
"D1203";"J1301";0.9
"D1203";"K1103";0.5
"D1203";"K1302";0.9
"D1204";"D1401";0.5
"D1204";"D1402";0.5
"D1204";"D1403";0.5
"D1204";"D1404";0.5
"D1204";"G1101";0.9
"D1204";"I1103";0.9
"D1204";"M1302";0.5
"D1204";"M1601";0.9
"D1204";"N4201";0.5
"D1204";"N4203";0.9
"D1204";"N4204";0.9
"D1205";"D1207";0.5
"D1205";"D1214";0.5
"D1205";"D1301";0.5
"D1205";"G1501";0.9
"D1205";"H2410";0.9
"D1205";"H3302";0.9
"D1205";"K2201";0.9
"D1206";"B1802";0.5
