siret,naf,ri,F_1_4,F_2_2,F_2_4,F_3_3
40313119600012,01.11Z,8371.8,10,9.82,2.01,10
39839387600014,01.11Z,8371.8,10,9.82,2.01,10
34402821200027,10.71C,2187.31,0.2,0,9.93,0.48
34402821200019,10.71C,2187.31,0.2,0,9.93,0.48
41924054400033,17.21C,7414.49,10,1.93,7.32,10
38523702900025,10.71C,2187.31,0.2,0,9.93,0.48
34402821200035,10.71C,2187.31,0.2,0,9.93,0.48
39352599300241,27.31Z,3730.02,1.3,8.84,2.25,0.94
40374837900019,26.12Z,2449.22,2.9,0,2.26,1.73
43159982800032,16.21Z,4868.89,5.1,10.0,2.33,3.15
35215007200028,28.29A,9746.87,6.8,10,4.5,8.43
39130270000011,10.71C,2187.31,0.2,0,9.93,0.48
39354994400022,10.13B,8175.41,4.9,10,5.38,4.81
44269443600068,22.29A,5505.11,6.5,3.84,5.03,5.69
43020755500011,10.71D,2187.31,0.2,0,9.93,0.48
37791706700102,23.51Z,4103.31,3.1,10.0,2.15,1.6
43821724200017,10.71C,2187.31,0.2,0,9.93,0.48
42862448000037,22.29A,5478.54,6.4,3.84,5.03,5.69
34105856800021,25.71Z,3425.26,0,6.81,2.58,0
39578005900014,11.07A,5465.44,0,10.0,4.59,0.0
42284598200020,10.71A,2187.31,0.2,0,9.93,0.48
38326263100013,10.12Z,4201.65,1.4,9.23,2.74,1.57
35142992300011,10.61B,6939.16,2.9,10,4.9,4.71
39688010600010,22.22Z,4646.94,9.5,0,2.51,9.09
35004687600016,22.22Z,4669.31,9.6,0,2.51,9.09
42138027000015,10.71C,2187.31,0.2,0,9.93,0.48
40524131600091,13.99Z,2968.66,1.7,3.08,2.34,2.56
39137116800017,23.61Z,3830.12,1.9,10.0,2.21,0.0
35402003400022,28.93Z,2799.69,0.2,3.94,2.21,0.17
42474643600015,10.71D,2182.16,0.1,0,9.93,0.48
39120615800019,10.71C,2182.16,0.1,0,9.93,0.48
33315846700022,20.15Z,7769.38,10,7.37,2.2,10
35380107900016,10.11Z,5730.55,6.1,8.33,2.58,6.05
35368090300013,22.19Z,5872.83,5.7,9.24,2.6,5.99
43193032000012,10.51C,15912.94,5.7,10,9.89,8.91
35111948200013,10.51C,15912.94,5.7,10,9.89,8.91
39299803500043,10.51C,15912.94,5.7,10,9.89,8.91
39984601300015,10.11Z,5730.55,6.1,8.33,2.58,6.05
34992450600018,31.01Z,3381.04,3.2,5.15,2.44,1.28
34992581800016,10.71C,2187.31,0.2,0,9.93,0.48
